position,link,title,source,date,snippet,thumbnail,locality
6,https://www.hindustantimes.com/india-news/donald-trump-s-india-link-two-luxury-real-estate-projects-in-maharashtra/story-wZqXBICD92dGFOwttjIjBK.html,Donald Trump’s India link: Two luxury real estate projects in Maharashtra,Hindustan Times,"Aug 12, 2016","American Republican presidential candidate and real estate tycoon Donald 
Trump has an Indian business connection.",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a190523d1e1923aa3a96ec6794856c7919eb26ba4ace3c07f8faf.png,Fort
7,https://indianexpress.com/article/cities/mumbai/south-mumbais-tardeo-is-indias-most-expensive-luxury-housing-location-5981245/,South Mumbai’s Tardeo is India’s most expensive luxury housing location,The Indian Express,"Sep 10, 2019","AT AN average price of R 56,000 per sq ft, south Mumbai's Tardeo is India's 
most expensive luxury housing location in the primary...",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a1905fbbfa0aa58da7f729d42e7c5fde928321510f16e721458ac.jpeg,Fort
8,https://realty.economictimes.indiatimes.com/news/commercial/kanakia-group-lease-out-50000-sq-ft-office-spaces-in-mumbai/65119858,"Kanakia Group lease-out 50,000 sq ft office spaces in Mumbai",ET Realty,"Jul 24, 2018","Kanakia Group: According to sources, Kanakia Wall Street has transacted 
lease rentals at Rs 130-140 per sq ft in the last six months.",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a19055c0c6bd737d4a57283f2f0e65ac2da1c868207d799026701.jpeg,Fort
9,https://www.moneycontrol.com/news/business/real-estate/property-tax-waiver-for-flat-owners-of-up-to-500-sq-ft-flats-in-navi-mumbai-10732701.html,Property tax waiver for flat owners of up to 500 sq ft flats in Navi Mumbai?,Moneycontrol,"Jun 2, 2023","If all goes according to plan, Navi Mumbai flat owners who live in 
apartments of up to 50 sq ft will be offered a property tax waiver.",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a19055c01cd35ac27a3e257945c1a82993444071e89b4bac36346.jpeg,Fort
10,https://housing.com/news/ready-reckoner-rate-in-shivaji-park-mumbai/,Ready reckoner rate in Shivaji Park Mumbai,Housing,"Jan 29, 2024","Shivaji Park in Mumbai is highly characterised by cultural vibrancy, 
historical significance and recreational amenities.",https://serpapi.com/searches/66afcbcbd737d78db13a8198/images/027bf7863c2a19058b61e4b00ce4961948cc091dacd1d0fae29884ba6053e547.jpeg,Fort
1,https://www.hindustantimes.com/cities/mumbai-news/amazon-data-services-leases-4-51-lakh-sq-ft-plot-in-airoli-for-data-centre-development-driving-real-estate-growth-101684434796839.html,Amazon leases 4.51 L sq ft in Airoli for data centre,Hindustan Times,"May 19, 2023","he lease period is for 180 months and the total lease area is 4,51748 sq 
ft. The lease will commence from August 24, 2023 and the rent...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bdc8d1a98100ce4b705e83b6ea9ba4fc8100707002ee2588be.png,Fort
2,https://timesofindia.indiatimes.com/city/mumbai/zara-swings-record-lease-deal-in-fort/articleshow/51788075.cms,Zara swings record lease deal in Fort,Times of India,"Apr 12, 2016","A heritage building in the Hutatma Chowk area in south Mumbai will soon be 
the largest retail space in a high street for a foreign brand in...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd75b29bf349562fbecfe358b6b0a5847ffa773ce7433eccf8.jpeg,Fort
3,https://housing.com/news/rajesh-khannas-mumbai-bungalow-aashirwad/,Late Rajesh Khanna’s Mumbai bungalow: Where history meets nostalgia,Housing,"Apr 6, 2021","Late Rajesh Khanna's 6,500 sq. ft. sea-facing landmark bungalow 'Aashirwad' 
in Bandra was bought by him from another Bollywood legend...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bddbb4faac5afa1461e2b4450e9c23e9231bfcbfeeb3c15954.jpeg,Fort
4,https://housing.com/news/dmart-ceo-ignatius-navil-noronha-buys-rs-70-crore-house-in-mumbai/,DMart CEO Ignatius Navil Noronha buys Rs 70 crore house in Mumbai,Housing,"Jan 3, 2023","Know more about the two super premium apartments that have been bought by 
Avenue Supermarts CEO Ignatius Navil Noronha and wife in Mumbai's...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd40421b713064c580c61e9781b82dd58553eea3bacb90a674.jpeg,Fort
5,https://www.hindustantimes.com/mumbai-news/six-streets-and-how-mumbai-became-the-city-of-dreams/story-Qe40iHwPedqmazabzcv4iJ.html,Six streets and how Mumbai became the city of dreams,Hindustan Times,"Aug 26, 2016","At Ballard Estate, a walk down six lanes reveals stories of a time Mumbai 
became the city of dreams | Mumbai news.",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd86eaeaa9a42ff40038118ed7ae0d38464461019a085aac9e.png,Fort
6,https://www.cnbctv18.com/real-estate/average-construction-cost-in-mumbai-10-higher-than-other-metros-8554851.htm,Average construction cost in Mumbai 10% higher than other metros,CNBC TV18,"Mar 10, 2021","The construction cost in the country's financial capital Mumbai is the 
highest among all the metro cities, while that in Chennai and...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd81a8fdc0c5b447279448fd1b1b0e7a745ecd1525a660d115.jpeg,Fort
7,https://housing.com/news/bmc-proposes-property-tax-exemption-homes-500-sq-ft/,Mumbai property tax exemption: BJP clarifies that all components will be waived,Housing,"Nov 24, 2022","Following the Congress' allegations that the Shiv Sena-BJP government had 
'fooled the people of Mumbai', by waiving only 0.110 per cent of...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd9f2ffe8c3f0dc9212eb1061224769c52b6a74656d92ca435.jpeg,Fort
8,https://housing.com/news/jp-morgan-leases-office-space-of-1-16-million-sq-ft-for-10-years-in-goregaon-mumbai/,"JP Morgan leases office space of 1.16 million sq ft for 10 years in Goregaon, Mumbai",Housing,"Aug 29, 2022","JP Morgan lease: Know more about the deal including the time frame, the 
stamp duty and the monthly rent to be paid.",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd905a67dcd2b826808d64da01bb3edd67d6b6a83bcc5ccb2d.jpeg,Fort
9,https://housing.com/news/top-10-localities-close-to-the-best-schools-in-mumbai/,Top 10 localities close to the best schools in Mumbai,Housing,"Nov 9, 2020","There is no doubt that Mumbai is one of the most sought-after cities in 
India, in spite of its traffic congestion and exorbitant property...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd44b27c4680092cfd8dfe3a29b3c1b68d0d41b7c6176800de.jpeg,Fort
10,https://housing.com/news/mumbai-dcpr-2034-solve-real-estate-problems/,Mumbai DCPR 2034: Can it solve Mumbai’s real estate problems?,Housing,"Nov 3, 2020","The current Development Plan for Mumbai, has several positives and is a 
step in the right direction, but implementation of some of the...",https://serpapi.com/searches/66afcbccef7ddae782de4dce/images/fd6d737f7c5583bd6d535b1ae83796e436881dcaae6ca5b2f2103351f3d38350.jpeg,Fort
1,https://housing.com/news/mumbai-metro-line-3/,"Mumbai Metro Line 3: Aqua Line route, stations, map",Housing,1 month ago,"Mumbai Metro Line 3 is also known as the Aqua Line. Check out details, such as its route, stations, etc., in this guide.",https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0c25801f3f2dd7a403bb18c89095259df16d46c3d93ddcd797.jpeg,Fort
2,https://housing.com/news/389-mumbai-buildings-get-extra-fsi-for-redevelopment/,389 Mumbai buildings get extra FSI for redevelopment,Housing,"Jan 2, 2023",The state government has made changes to existing rules so that redevelopment of MHADA buildings is possible and feasible for Mumbai...,https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0cf64c5d0298bac2bb479f9a2202bced695b7adc0c874168b9.jpeg,Fort
3,https://www.zeebiz.com/india/real-estate/news-rs-119-cr-ranveer-singhs-new-bandstand-house-in-bandra-west-of-mumbai-19-parking-lots-rs-7-cr-stamp-duty-11266-sq-ft-space-and-more-189280,"Rs 119 cr! Ranveer Singhs New Bandstand House In Bandra West of Mumbai - 19 parking lots, Rs 7 cr stamp dut...",Zee Business,"Jul 12, 2022","The actor has bought the apartment spread across floors 16, 17, 18 and 19 of Sagar Resham, a building at Bandstand in the close vicinity of...",https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0cc053f804e0cbff03f61ec05155132b2e0e2c1eec3cdc5066.jpeg,Fort
4,https://housing.com/news/service-sector-companies-in-india/,Top service sector companies in India,Housing,"Oct 25, 2023","India thrives as a diverse business hub, hosting tech giants in Bengaluru and financial powerhouses in Mumbai, among others.",https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0c63e0fd26f9001e6d5490df34ae99167195ab258b71d5dfe7.jpeg,Fort
5,https://www.siliconindia.com/realestate/news/costliest-property-deal-in-mumbai-fetches-rs135l-sq-ft-nid-154638.html,Costliest Property Deal In Mumbai Fetches Rs.1.35L/ Sq Ft,Siliconindia,"Sep 24, 2013",Costliest Property Deal In Mumbai Fetches Rs.1.35L/ Sq Ft - Bangalore: While the country's real estate market is observing sluggish growth...,https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0c9ab499e7183cde0862e51035e6aad42afdb9d9a231aacaad.jpeg,Fort
6,https://realty.economictimes.indiatimes.com/news/commercial/ubs-sets-up-office-at-navi-mumbais-airoli-mindspace/58281275,UBS sets up office at Navi Mumbai’s Airoli Mindspace,ET Realty,"Apr 20, 2017",MUMBAI: Swiss bank UBS has set up its office on part of recently leased 4 lakh sq ft space in K Raheja Corp's Mindspace complex in Navi...,https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0c25e9c61336d0ff31aff574b8e06f2b1e3801fb657d4d76e7.jpeg,Fort
7,https://cevnews.in/2021/07/kolkatas-kct-group-buys-hsbcs-office-building-in-south-mumbai-real-estate-news-et-realestate/,Kolkata’s KCT Group buys HSBC’s office building in South Mumbai Real Estate News ET RealEstate,ctn press,"Jul 12, 2021","Kolkata's KCT Group buys HSBC's office building in South Mumbai Real Estate News ET RealEstate, Property Tax, Engineers, Architects,...",https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0c6ba7e7567697eecee935e32b3f327ffb0696c1296d8e9c84.jpeg,Fort
8,https://www.hellomumbainews.com/business_news/tardeo-pin-code-to-south-mumbais-premium-real-estate-market-that-drips-luxury/,Tardeo: Pin code to South Mumbai’s premium real estate market that drips luxury,Hello Mumbai News,"Nov 2, 2022","The luxury residential market has been on an upswing post the pandemic, with its overall sales share growing to 14% in the first half of...",https://serpapi.com/searches/66afcbceaf5af1fbb11ad894/images/53790356d4056f0c1ea244936e9a280abafbebd80da1ac9f85dca3ce895406bb.jpeg,Fort
1,https://infra.economictimes.indiatimes.com/news/urban-infrastructure/mumbai-coastal-road-leads-to-5-15-property-price-rise-in-western-suburbs/108793103,Mumbai Coastal Road leads to 5-15% property price rise in western suburbs,ET Infra,"Mar 26, 2024","Mumbai Coastal Road NEW DELHI: The opening of the first phase of Mumbai 
Coastal Road from Princess Street Flyover to Worli along the...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bdae8903a29b47a2e819933850c73a0ef209bfb8e960aef176.jpeg,Nariman Point
2,https://www.moneycontrol.com/news/business/real-estate/can-south-mumbai-commercial-real-estate-market-catch-up-with-bkc-with-infra-boost-12491631.html,Can South Mumbai commercial real estate market catch up with BKC with infra boost?,Moneycontrol,"Mar 20, 2024","Mumbai real estate: South Mumbai, or Sobo, real estate market has over the 
last five to 10 years lost it prominence owing to dearth of...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd2e8bfc4c6946cc9d0b6872d4d67eaf7520ee8dbeea192b61.jpeg,Nariman Point
3,https://www.hindustantimes.com/real-estate/mumbai-coastal-road-inaugurated-here-s-how-it-is-expected-to-impact-real-estate-markets-101710169972990.html,Mumbai Coastal Road inaugurated: Here’s how it will impact realty markets,Hindustan Times,"Mar 11, 2024","The Mumbai Coastal Road is expected to rejuvenate the city's business hubs 
and drive residential demand in South-Central Mumbai submarkets.",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd3ac1c53c789a01c9c70f659f722bb960d88b5a1150ebf2c2.jpeg,Nariman Point
4,https://www.business-standard.com/companies/news/luxury-hospitality-giant-oberoi-group-launches-residential-suites-in-mumbai-124051001480_1.html,Luxury hospitality giant Oberoi Group launches residential suites in Mumbai,Business Standard,"May 10, 2024","Designed by Architectural Discipline, the new suites combine residential 
ambience with contemporary aesthetics. Advertisement. rent, real...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd1ddacae34768a8ed203766d39c5a0f6b46d07a45164c0e96.jpeg,Nariman Point
5,https://www.rprealtyplus.com/interviews/mumbai-coastal-road-catalyst-for-real-estate-114388.html,MUMBAI COASTAL ROAD CATALYST FOR REAL ESTATE,Realty Plus Magazine,"Mar 14, 2024","Dr. Samantak Das, Chief Economist and Head- Research & REIS, India, JLL 
shares that the Mumbai's coastal road project is a game-changer for...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd64cc1e7d44b04112f20dc2451d72529f387583585bd7731d.jpeg,Nariman Point
6,https://housing.com/news/reckoner-rates-in-nariman-point-mumbai/,"Reckoner Rates in Nariman Point, Mumbai",Housing,"Dec 28, 2023","Find out the area-wise ready reckoner rate list for Nariman Point, Mumbai 
in 2024. Find out how to check the list on the official site.",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd1d546060eb9d1390183aa93cdbce26280cc69e113beb2cc4.jpeg,Nariman Point
7,https://www.timesnownews.com/mumbai/how-opening-of-mumbai-coastal-road-has-led-to-surge-in-property-rates-in-bandra-andheri-area-article-108820508,How Opening Of Mumbai Coastal Road Has Led To Surge In Property Rates In Bandra-Andheri Area,Times Now,"Mar 27, 2024","Stakeholders report a 5-15 per cent increase in property values in the 
Bandra-Andheri area due to the project, with anticipated positive...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd53fea424037deb3d1b88e85bdf25f69cb874d6cdd74f92a7.jpeg,Nariman Point
8,https://www.moneycontrol.com/news/business/real-estate/5-things-you-dont-know-about-the-maharashtra-govts-rs-1601cr-acquisition-of-mumbais-air-india-building-11711681.html,"5 things you don't know about the Maharashtra govt’s Rs 1,601cr acquisition of Mumbai’s Air India...",Moneycontrol,"Nov 10, 2023","Mumbai real estate: According to the Maharashtra government, the 
5-lakh-square-feet-space will be used for housing different government...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd68cc114f1c358e01d4dc5970374482bb59400bf1cb6707a2.jpeg,Nariman Point
9,https://timesproperty.com/news/post/all-about-mumbai-coastal-road-project-blid6986,Mumbai's Coastal Road Project: Real Estate Buzz,Times Property,"Mar 15, 2024","Mumbai Coastal Road Project: An In-Depth Guide on Its Route, Financial 
Implications, and the Project's Influence on Local Real Estate...",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bdefb9f1613eee433cb34a4ce5237b880f1a465fc2101b82d8.jpeg,Nariman Point
10,https://www.constructionweekonline.in/business/commercial-real-estate-market-in-mumbai-andheri-takes-centre-stage,Commercial real estate market in Mumbai: Andheri takes centre stage,Construction Week India,"Nov 7, 2023","In the bustling heart of India's financial capital, Mumbai, the real estate 
market is experiencing an unprecedented surge.",https://serpapi.com/searches/66afcbd4b5961e021c7fe1eb/images/bd0b489d694220bd9d33b007f7830bc0376bc866491529c60968d138d99b55fd.jpeg,Nariman Point
1,https://timesofindia.indiatimes.com/city/mumbai/mumbai-turns-a-giant-construction-site-is-adding-5-nariman-points/articleshow/104683977.cms,"Mumbai air pollution: City turns a giant construction site, is adding 5 Nariman Points",Times of India,"Oct 25, 2023","Mumbai has experienced an intense construction boom, with ongoing real 
estate construction activity covering an area equivalent to five...",https://serpapi.com/searches/66afcbd60f9866b86b906120/images/4b528154e872409ddae4ac14185c194dee12fedbd7021697164f4bf01840ac86.jpeg,Nariman Point
2,https://www.freepressjournal.in/mumbai/mumbai-news-with-infra-boost-sobo-office-spaces-need-200-crore-makeover,"Mumbai News: With Infra Boost, SoBo Office Spaces Need ₹200-Crore Makeover",Free Press Journal,"Nov 18, 2023","Revival of Mumbai's old CBDs with upcoming infrastructure projects set to 
boost real estate market. Findings of a study by Colliers reveal...",https://serpapi.com/searches/66afcbd60f9866b86b906120/images/4b528154e872409d3330c5c77a95eaa0d4bb9acd1fe77074d99f7829930de42d.jpeg,Nariman Point
